STATION,STATION ID,LINENAME2,FREQUENCY
125 STREET (8AVE),153,8Ave,Weekly
137 STREET (7BWY),305,7Bwy,Weekly
50 STREET (QNS) UL,162,Qns,Weekly
HOYT SCHERMERHORN ST (XTWN),175,Xtwn,Weekly
HUNTERS POINT AVENUE (FLU),463,Flu,Weekly
JAY STREET (FUL),174,FUL,Weekly
VERNON BLVD.-JACKSON AVENUE (FLU),464,Flu,Weekly
103 STREET (7BWY),309,7Bwy,Bi-Weekly
207 STREET (8AVE),143,8Ave,Bi-Weekly
21 STREET (VAN ALST) (XTWN),282,Xtwn,Bi-Weekly
42 STREET/TIMES SQUARE 7 (FLU),467,Flu,Bi-Weekly
8 AVENUE (CNRS),115,Cnrs,Bi-Weekly
BEDFORD AVENUE (CNRS),120,Cnrs,Bi-Weekly
GREENPOINT AVENUE (XTWN),283,Xtwn,Bi-Weekly
HUNTS POINT AVENUE (PEL),371,Pel,Bi-Weekly
LAWRENCE STREET (METROTECH) (BWY),25,Bwy,Bi-Weekly
LEXINGTON AVENUE (QNS),275,Qns,Bi-Weekly
LORIMER STREET (CNRS),121,Cnrs,Bi-Weekly
MONTROSE AVENUE (CNRS),124,Cnrs,Bi-Weekly
ROOSEVELT ISLAND (63RD),222,63St,Bi-Weekly
WOODHAVEN BLVD. (QUEENS MALL) (QNS),264,Qns,Bi-Weekly
PACIFIC STREET (4AVE),27,4Ave,Tri-Weekly
157 STREET (7BWY),303,7Bwy,Tri-Weekly
59 STREET-COLUMBUS CIRCLE (8AVE),161,8Ave,Tri-Weekly
BROADWAY NASSAU STREET (8AVE),172,8Ave,Tri-Weekly
LEXINGTON AVENUE (AST),7,Ast,Tri-Weekly
LEXINGTON AVENUE (AST),223,Ast,Tri-Weekly
1 AVE (CNRS),119,Cnrs,Tri-Weekly
14 STREET/UNION SQ (CNRS),117,Cnrs,Tri-Weekly
6 AVENUE (CNRS),116,Cnrs,Tri-Weekly
GRAHAM AVENUE (CNRS),122,Cnrs,Tri-Weekly
145 STREET (CONC),151,Conc,Tri-Weekly
155 STREET (CONC),220,Conc,Tri-Weekly
42 STREET/GRAND CENTRAL 7 (FLU),465,Flu,Tri-Weekly
148 STREET (LWP),436,LWP,Tri-Weekly
BROOK AVENUE (PEL),376,Pel,Tri-Weekly
5 AVENUE-53 ST (QNS),276,Qns,Tri-Weekly
EAST BROADWAY (6AVE),234,6Ave,Tri-Weekly
BEDFORD-NOSTRAND AVE (XTWN),289,Xtwn,Tri-Weekly
FULTON STREET (XTWN),292,Xtwn,Tri-Weekly
116 STREET (8AVE),154,8Ave,Monthly
125 STREET (LWP),439,LWP,Monthly
135 STREET (LWP),438,LWP,Monthly
138 STREET 3 AVENUE (PEL),377,Pel,Monthly
149 STREET (3 AVENUE) (LWP),434,LWP,Monthly
149 STREET GRAND CONC LL (LWP),435,LWP,Monthly
168 STREET-WASHINGTON HTS (8AVE),148,8Ave,Monthly
205 STREET (NORWOOD)(CONC),210,Conc,Monthly
23 STREET (ELY AVENUE) (QNS),274,Qns,Monthly
25 STREET (4AVE),31,4Ave,Monthly
3 AVENUE (CNRS),118,Cnrs,Monthly
