category,STATION,Stationname,Date,DIVISION,LINE,LINENAME,DYear,DMonth,CMonth,Week.,CWeek,Track,Tracks Done,Total Bags,Footage,Start Col,End Col,Debris(Lbs),Homeless Debris,Sharps
Station Cleaning,111 STREET (GREENWOOD AVENUE) (LIB),111-Greenwood,2015-01-01,IND,K,Lib,2015,01,Jan,1,Thu,"K1,2",2,2,,,,,No,
Station Cleaning,104 STREET (OXFORD AVENUE) (LIB),104-Oxford,2015-01-01,IND,K,Lib,2015,01,Jan,1,Thu,"K1,2",2,3,,,,,No,
Station Cleaning,238 STREET (7BWY),238 Street,2015-01-01,IRT,BB,7Bwy,2015,01,Jan,1,Thu,"B1,2",2,4,,,,,No,
Station Cleaning,111 STREET (GREENWOOD AVENUE) (LIB),111-Greenwood,2015-01-01,IND,K,Lib,2015,01,Jan,1,Thu,"K1,2",2,7,,,,,No,
Station Cleaning,BEACH 105 STREET (RKWY),Beach 105 Street,2015-01-01,IND,F,Rkwy,2015,01,Jan,1,Thu,"F3,4",2,9,,,,,No,
Station Cleaning,MAIN STREET (FLU),Main Street,2015-01-01,IRT,C,Flu,2015,01,Jan,1,Thu,"C1,2&M",3,16,,,,,No,
Special Work,125 STREET (8AVE),125 Street,2015-01-02,IND,A,8Ave,2015,01,Jan,1,Fri,"A1,3",,4,60,129485,129515,0,No,
Station Cleaning,125 STREET (8AVE),125 Street,2015-01-02,IND,A,8Ave,2015,01,Jan,1,Fri,"A1,2,3,4",4,40,,,,,No,
Station Cleaning,2 AVENUE (6AVE),2 Avenue,2015-01-02,IND,B,6Ave,2015,01,Jan,1,Fri,"B1,2,5,6",4,84,,,,,No,
Station Cleaning,116 STREET (LWP),116 Street,2015-01-02,IRT,F,LWP,2015,01,Jan,1,Fri,F3,1,87,,,,,No,
Station Cleaning,LEXINGTON AVENUE (QNS),53 -Lexington,2015-01-02,IND,D,Qns,2015,01,Jan,1,Fri,"D3,4",2,99,,,,,No,
Station Cleaning,BEACH 90 STREET (HOLLAND) (RKWY),Beach 90 Street,2015-01-03,IND,F,Rkwy,2015,01,Jan,1,Sat,"F3,4",2,5,,,,,No,
Station Cleaning,BEACH 98 STREET (PLAYLAND) (RKWY),Beach 98 Street,2015-01-03,IND,F,Rkwy,2015,01,Jan,1,Sat,"F3,4",2,6,,,,,No,
Special Work,BOROUGH HALL (EPK),Borough Hall,2015-01-03,IRT,M,Epky,2015,01,Jan,1,Sat,MM2 & MM3,,13,400,11150,11350,0,No,
Station Cleaning,116 STREET (LWP),116 Street,2015-01-03,IRT,F,LWP,2015,01,Jan,1,Sat,F3,1,48,,,,,No,
Station Cleaning,96 STREET (7BWY),96 Street,2015-01-03,IRT,B,7Bwy,2015,01,Jan,1,Sat,B4,1,54,,,,,No,
Station Cleaning,BOROUGH HALL (EPK),Borough Hall,2015-01-03,IRT,M,Epky,2015,01,Jan,1,Sat,"E2,3",2,59,,,,,No,
Special Work,HOYT SCHERMERHORN STREETS (FUL),Hoyt Schermerhorn St,2015-01-03,IND,A,Ful,2015,01,Jan,1,Sat,E1 & A4,,65,100,76900,76840,0,No,
Special Work,HOYT SCHERMERHORN STREETS (FUL),Hoyt Schermerhorn St,2015-01-03,IND,A,Ful,2015,01,Jan,1,Sat,A3 & E2,,163,100,76900,76840,0,No,
Special Work,HOYT SCHERMERHORN STREETS (FUL),Hoyt Schermerhorn St,2015-01-03,IND,A,Ful,2015,01,Jan,1,Sat,A1& A3,,320,100,76890,76840,0,No,
Special Work,DELANCEY STREET (6AVE),Delancey Street,2015-01-06,IND,B,6Ave,2015,01,Jan,2,Tue,,,2,40,877500,,0,Yes,
Special Work,14 STREET (6AVE),14 Street,2015-01-06,IND,B,6Ave,2015,01,Jan,2,Tue,B2,,3,10,90050,90040,0,Yes,
Special Work,14 STREET (6AVE),14 Street,2015-01-06,IND,B,6Ave,2015,01,Jan,2,Tue,B1,,3,10,90000,90010,0,Yes,
Special Work,ATLANTIC AVENUE (EPKY),Atlantic Avenue,2015-01-06,IRT,E,Epky,2015,01,Jan,2,Tue,E4,,4,40,15980,16020,0,Yes,
Station Cleaning,BERGEN STREET (EPKY),Bergen Street,2015-01-06,IRT,E,Epky,2015,01,Jan,2,Tue,"E1,2",2,14,,,,,No,
Special Work,57 STREET (6AVE),57 St / 7th Ave,2015-01-06,IND,B,6Ave,2015,01,Jan,2,Tue,"B1,2",,27,100,109700,109800,0,Yes,
Station Cleaning,ATLANTIC AVENUE (EPKY),Atlantic Avenue,2015-01-06,IRT,E,Epky,2015,01,Jan,2,Tue,"E1,2,3,4",4,35,,,,,No,
Station Cleaning,14 STREET (6AVE),14 Street,2015-01-06,IND,B,6Ave,2015,01,Jan,2,Tue,"B1,2",2,35,,,,,No,
Station Cleaning,57 STREET (6AVE),57 St / 7th Ave,2015-01-06,IND,B,6Ave,2015,01,Jan,2,Tue,"B1,2",2,56,,,,,No,
Station Cleaning,EAST BROADWAY (6AVE),East Broadway,2015-01-06,IND,B,6Ave,2015,01,Jan,2,Tue,"B1,2",2,68,,,,,No,
Scraping,125 STREET (LEX),125 Street,2015-01-06,IRT,L,Lex,2015,01,Jan,2,Tue,L2,,82,380,23600,23220,300,No,
Scraping,LONGWOOD AVENUE (PEL),Longwood Avenue,2015-01-06,IRT,P,Pel,2015,01,Jan,2,Tue,TRK 3,,150,130,40510,40640,0,No,
Scraping,138 STREET 3 AVENUE (PEL),138 Street-3 Avenue,2015-01-06,IRT,P,Pel,2015,01,Jan,2,Tue,TRK M,,200,700,28700,28000,0,No,
Scraping,EAST 143 STREET (PEL),East 143 Street,2015-01-06,IRT,P,Pel,2015,01,Jan,2,Tue,P3,,220,350,34398,34798,0,No,
Special Work,68 STREET-HUNTER COLLEGE (LEX),68 Street-Hunter College,2015-01-07,IRT,L,Lex,2015,01,Jan,2,Wed,L1,,3,10,8585,8595,0,No,
Special Work,CHAMBERS STREET (JAM),Chambers St at Centre St.,2015-01-07,BMT,J,Jam,2015,01,Jan,2,Wed,"BETWEEN R1,2",,15,1250,22150,,0,Yes,
Station Cleaning,68 STREET-HUNTER COLLEGE (LEX),68 Street-Hunter College,2015-01-07,IRT,L,Lex,2015,01,Jan,2,Wed,"L1,2",2,63,,,,,No,
Station Cleaning,EAST 143 STREET (PEL),East 143 Street,2015-01-07,IRT,P,Pel,2015,01,Jan,2,Wed,P3,1,100,,,,,No,
Scraping,EAST 143 STREET (PEL),East 143 Street,2015-01-07,IRT,P,Pel,2015,01,Jan,2,Wed,P3,,100,200,34798,34998,0,No,
Scraping,138 STREET 3 AVENUE (PEL),138 Street-3 Avenue,2015-01-07,IRT,P,Pel,2015,01,Jan,2,Wed,PM,,150,202,28000,27798,0,No,
Station Cleaning,125 STREET (LEX),125 Street,2015-01-07,IRT,L,Lex,2015,01,Jan,2,Wed,L2,1,200,,,,,No,
Scraping,125 STREET (LEX),125 Street,2015-01-07,IRT,L,Lex,2015,01,Jan,2,Wed,L2,,200,380,23600,23220,0,No,
Scraping,EAST 149 STREET (PEL),East 149 Street,2015-01-07,IRT,P,Pel,2015,01,Jan,2,Wed,P3,,220,400,25950,26350,300,No,
Station Cleaning,BROOK AVENUE (PEL),Brook Avenue,2015-01-07,IRT,P,Pel,2015,01,Jan,2,Wed,P1,1,240,,,,,No,
Scraping,BROOK AVENUE (PEL),Brook Avenue,2015-01-07,IRT,P,Pel,2015,01,Jan,2,Wed,P2,,240,1000,30800,29800,0,No,
Station Cleaning,CYPRESS AVE (PEL),Cypress Ave,2015-01-07,IRT,P,Pel,2015,01,Jan,2,Wed,P3,1,250,,,,,No,
Scraping,CYPRESS AVE (PEL),Cypress Ave,2015-01-07,IRT,P,Pel,2015,01,Jan,2,Wed,P3,,250,640,32340,31700,0,No,
Scraping,138 STREET 3 AVENUE (PEL),138 Street-3 Avenue,2015-01-07,IRT,P,Pel,2015,01,Jan,2,Wed,P2,,300,450,27500,27950,300,No,
Scraping,LONGWOOD AVENUE (PEL),Longwood Avenue,2015-01-07,IRT,P,Pel,2015,01,Jan,2,Wed,P3,,375,250,39250,39000,0,No,
Special Work,NEVINS STREET (EPKY),Nevins Street,2015-01-08,IRT,E,Epky,2015,01,Jan,2,Thu,3&4,,25,150,14500,,0,No,
Station Cleaning,UTICA AVENUE (FUL),Utica Avenue,2015-01-08,IND,A,Ful,2015,01,Jan,2,Thu,"A1,2,3,4",4,43,,,,,No,
Station Cleaning,14 STREET (7BWY),14 Street,2015-01-08,IRT,V,7Bwy,2015,01,Jan,2,Thu,"V1,2,3,4",4,47,,,,,No,
Station Cleaning,8 AVENUE (CNRS),8 Avenue,2015-01-08,BMT,Q,Cnrs,2015,01,Jan,2,Thu,"Q1,2",2,55,,,,,No,
Station Cleaning,125 STREET (LEX),125 Street,2015-01-08,IRT,L,Lex,2015,01,Jan,2,Thu,L1,1,70,,,,,No,
Special Work,UTICA AVENUE (FUL),Utica Avenue,2015-01-08,IND,A,Ful,2015,01,Jan,2,Thu,"A2,4",,76,30,60475,60505,0,No,
Station Cleaning,BROADWAY JCT. EAST NEW YORK (FUL),Broadway Jct East NY,2015-01-08,IND,A,Ful,2015,01,Jan,2,Thu,"A1,2,3,4",4,78,,,,,No,
Station Cleaning,WEST 4 STREET/WASHINGTON SQ. (6AVE),West 4 Street/Washington Sq.,2015-01-08,IND,B,6Ave,2015,01,Jan,2,Thu,"B1,2,3,4",4,90,,,,,No,
Special Work,TREMONT AVENUE (CONC),Tremont Avenue,2015-01-08,IND,C,Conc,2015,01,Jan,2,Thu,3&4,,117,200,152850,,1600,No,
Station Cleaning,34 STREET/HERALD SQ (6AVE),34 Street/Herald Sq,2015-01-08,IND,B,6Ave,2015,01,Jan,2,Thu,"1,2,3,4",4,170,,,,,No,
Station Cleaning,14 STREET (8AVE),14 Street,2015-01-08,IND,A,8Ave,2015,01,Jan,2,Thu,"A1,3",2,,,,,,No,
Station Cleaning,ESSEX STREET (JAM),Essex Street,2015-01-09,BMT,J,Jam,2015,01,Jan,2,Fri,"A1,2,JM",2,55,,,,,No,
Scraping,125 STREET (LEX),125 Street,2015-01-09,IRT,L,Lex,2015,01,Jan,2,Fri,L2,,72,550,23500,22950,200,No,
Scraping,59 STREET (4AVE),59 Street,2015-01-09,BMT,F,4Ave,2015,01,Jan,2,Fri,"F2,4",,145,2200,51200,52300,900,No,
Scraping,EAST 143 STREET (PEL),East 143 Street,2015-01-09,IRT,P,Pel,2015,01,Jan,2,Fri,P2 P3,,150,1100,34450,35000,0,No,
Scraping,CYPRESS AVE (PEL),Cypress Ave,2015-01-09,IRT,P,Pel,2015,01,Jan,2,Fri,P2&3,,230,1150,32350,31775,0,No,
Scraping,BROOK AVENUE (PEL),Brook Avenue,2015-01-09,IRT,P,Pel,2015,01,Jan,2,Fri,"P2,3",,260,1720,30810,29950,0,No,
Scraping,LONGWOOD AVENUE (PEL),Longwood Avenue,2015-01-09,IRT,P,Pel,2015,01,Jan,2,Fri,P3,,375,320,39000,38680,500,No,
Scraping,138 STREET 3 AVENUE (PEL),138 Street-3 Avenue,2015-01-09,IRT,P,Pel,2015,01,Jan,2,Fri,P2 & M,,400,1400,27900,28600,0,No,
Station Cleaning,53 STREET (4AVE),53 Street,2015-01-10,BMT,F,4Ave,2015,01,Jan,2,Sat,"B1,2",2,12,,,,,No,
Station Cleaning,YORK STREET (6AVE),York Street,2015-01-10,IND,B,6Ave,2015,01,Jan,2,Sat,"B1,2",2,15,,,,,No,
Station Cleaning,JAY STREET (8AV),Jay Street,2015-01-10,IND,A,8Ave,2015,01,Jan,2,Sat,A4,1,30,,,,,No,
Station Cleaning,23 STREET (8AVE),23 Street,2015-01-10,IND,A,8Ave,2015,01,Jan,2,Sat,A2,1,62,,,,,No,
Station Cleaning,PARSONS/ARCHER (ARCH) U.L.,Parsons/Archer U.L.,2015-01-10,IND,DA,Arch,2015,01,Jan,2,Sat,"DA1,DA2",2,65,,,,,No,
