category,STATION,Stationname,Date,DIVISION,LINE,LINENAME,DYear,DMonth,CMonth,Week.,CWeek,Track,Tracks Done
Station Cleaning,15 STREET (PROSPECT PARK) (6AVE),15 Street,2015-01-02,IND,B,6Ave,2015,01,Jan,1,Fri,B1,1
Station Cleaning,7 AVENUE (BKLYN) (6AVE),7 Avenue,2015-01-02,IND,B,6Ave,2015,01,Jan,1,Fri,"B2,3,4",3
Station Cleaning,BERGEN STREET (6AVE),Bergen Street,2015-01-02,IND,B,6Ave,2015,01,Jan,1,Fri,"B1,2",2
Station Cleaning,CHURCH AVENUE (6AVE),Church Avenue,2015-01-02,IND,B,6Ave,2015,01,Jan,1,Fri,"B2,3,4",3
Station Cleaning,FORT HAMILTON PARKWAY (6AVE),Fort Hamilton Parkway,2015-01-02,IND,B,6Ave,2015,01,Jan,1,Fri,B2,1
Station Cleaning,JAY STREET (FUL),Jay Street,2015-01-02,IND,B,Ful,2015,01,Jan,1,Fri,"B1,2",2
Station Cleaning,14 STREET/UNION SQ  (BWY),14 Street/Union Sq,2015-01-03,BMT,A,Bwy,2015,01,Jan,1,Sat,A3,1
Station Cleaning,23 STREET (BWY),23 Street,2015-01-03,BMT,A,Bwy,2015,01,Jan,1,Sat,A2,1
Station Cleaning,34 STREET/HERALD SQ (BWY),34 Street/Herald Sq,2015-01-03,BMT,A,Bwy,2015,01,Jan,1,Sat,A3,1
Station Cleaning,42 STREET/TIMES SQUARE (BWY),42 Street/Times Square,2015-01-03,BMT,A,Bwy,2015,01,Jan,1,Sat,"A1,4",2
Station Cleaning,49 STREET (BWY),49 Street,2015-01-03,BMT,A,Bwy,2015,01,Jan,1,Sat,A1,1
Station Cleaning,57 STREET (BWY),57 St / 6th Ave,2015-01-03,BMT,A,Bwy,2015,01,Jan,1,Sat,"A3,4",2
Station Cleaning,CANAL STREET (H TRACKS) (BWY) L.L.,Canal St at Brdwy (Lower),2015-01-03,BMT,H,Bwy,2015,01,Jan,1,Sat,H2,1
Station Cleaning,PRINCE STREET (BWY),Prince Street,2015-01-03,BMT,A,Bwy,2015,01,Jan,1,Sat,A2,1
Station Cleaning,125 STREET (8AVE),125 Street,2015-01-04,IND,A,8Ave,2015,01,Jan,2,Sun,"A3,4",2
Station Cleaning,14 STREET (8AVE),14 Street,2015-01-04,IND,A,8Ave,2015,01,Jan,2,Sun,"A2,3",2
Station Cleaning,23 STREET (8AVE),23 Street,2015-01-04,IND,A,8Ave,2015,01,Jan,2,Sun,A2,1
Station Cleaning,34 STREET (PENN STATION) (8AVE),34 Street,2015-01-04,IND,A,8Ave,2015,01,Jan,2,Sun,"A2,3",2
